job_title|company_name|location|position_level|jobs_location|total_vacancy|job_description|required_experience|required_education|required_language|required_soft_skill|required_technical_skill|job_type|working_hour_type|working_hour|work_day|off_day|salary_type|salary_range|job_url|scraping_date
Marine Controller|SATUMARIN SDN BHD|KOTA KINABALU|Senior Manager|KOTA KINABALU|1|-To provide inspection services which shall include but not limited to the scope of inspection, inspection schedule, inspection report and administrative arrangement. -Planning of safe and efficient marine vessels activities, coordinating all marine vessels movement at Platform / Work Boat / Barge / Rig Area -Review and advice anchor pattern at sites for inter-platform movement, providing expert planning and supervision on all marine movement/issues. -Coordinate and supervise the movement and handling of offshore support vesels including but not limited to anchor handling tug, supply boat, fast crew boat, accommodation vessel, work boat, work barge, straight supply vessel, standby boat, mooring boat, landing craft, cargo transfer.|10 year of experience|Degree /|Malay / English /|Written communication / Reporting / Conflict management / Problem-solving /|Microsoft Access / Microsoft Excel / Microsoft Project /|Full Time|Flexible Hour|to|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday /|Sunday /|Monthly Salary|RM 8,000 - RM 10,000|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTQzMA==|2026-02-18 12:21:58
Industrial hygiene Executive|SAFEMED SDN BHD|KOTA KINABALU|Entry Level|KOTA KINABALU|2|To prepare & conduct Industrial hygiene related works.|No experience required|Degree /|Malay / English /|Documenting / Reporting /|Microsoft Excel / Microsoft Office / Microsoft Outlook / Microsoft PowerPoint /|Contract|Flexible Hour|to|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday /|Saturday / Sunday /|Project Based|RM 1,700 - RM 2,000|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTM2OQ==|2026-02-18 12:21:58
General, Senior of Field Service Engineer|NEURAL OILFIELD SERVICE SDN BHD|SIPITANG|Senior Executive|SIPITANG|5|"* To execute operational activities assigned to you safely and
efficiently.
* To perform & assist the team on job in terms of planning,
reporting & job execution.
* To be involved and be responsible for logistic requirement for
equipment from/to jobs.
* To perform installation work and to perform surface date
requisition maintenance/troubleshooting work.
*Establish good client relationship and to carry company good
image with principle and clients.
*Self-driven learning to acquire full technical
knowledge
* Adhere to the Health, Safety, Security & Environment policies,
HSSE Operational procedures, practices & all general safety
requirements while carrying out jobs."|At least 3 year of experience|Degree /|Malay / English /|Negotiating / Documenting / Reporting / Observing / Problem-solving /|Microsoft Access / Microsoft Excel / Microsoft Office / Microsoft Outlook / Microsoft PowerPoint /|Full Time|Office Hour|07:00 AM to 07:00 PM|Monday / Tuesday / Wednesday / Thursday / Friday /|Saturday / Sunday /|Monthly Salary|RM 4,000 - RM 7,000|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTI4Mw==|2026-02-18 12:21:58
Laboratory Technician|OCEAN KINABALU SDN BHD|KOTA KINABALU|Entry Level|KOTA KINABALU|2|Performing mud formulation tests, mud and completion chemical quality control and performance tests|At least 3 year of experience|Diploma /|Malay / English /|Active listening / Problem-solving /|Microsoft Excel / Microsoft Office / Microsoft Outlook /|Contract|Office Hour|08:00 AM to 05:00 PM|Monday / Tuesday / Wednesday / Thursday / Friday /|Saturday / Sunday /|Monthly Salary|RM 2,000 - RM 3,200|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTMwNA==|2026-02-18 12:21:58
Senior Testing Specialist|SUNDUWAN ENGINEERING SERVICES SDN BHD|KOTA KINABALU|Senior Executive|KOTA KINABALU|1|Able to perform electrical protection testing and maintenance for LV/HV equipment testing i.e. Switchgears|At least 5 year of experience|Degree /|Malay / English /|Managing / Planning / Delegating / Supervising /|C++  /|Contract|Office Hour|08:00 AM to 05:30 PM|Monday / Tuesday / Wednesday / Thursday / Friday /|Saturday / Sunday /|Project Based|RM 2,500 - RM 3,000|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTE2NA==|2026-02-18 12:21:58
Party Chief|HURRICANE GEO INSPECTION SURVEY SDN. BHD.|KOTA KINABALU|Manager|KOTA KINABALU|1|"Key Responsibilities:

Oversee and manage offshore geophysical survey operations, ensuring adherence to project objectives and timelines.

Supervise and coordinate the activities of the offshore survey team, including geophysicists, surveyors, and technical personnel.

Ensure the quality control of acquired geophysical data, including seismic, bathymetric, magnetometer, and sub-bottom profiling data.

Maintain strong communication with onshore management, clients, and vessel crew.

Troubleshoot technical and operational issues, ensuring minimal downtime during data acquisition.

Implement and enforce health, safety, and environmental (HSE) policies and procedures.

Ensure all equipment is properly calibrated and maintained for optimal performance.

Prepare technical reports, logs, and documentation for project completion.

Assist in project planning, including mobilization, execution, and demobilization phases.

Qualifications & Requirements:

Bachelor’s degree in Geophysics, Marine Science, Surveying, or a related field.

Minimum of 5–10 years of offshore geophysical survey experience, with at least 3 years in a leadership role.

Proficiency in geophysical survey techniques and data acquisition systems (e.g., seismic, side-scan sonar, sub-bottom profilers, magnetometers, etc.).

Strong leadership, organizational, and decision-making skills."|At least 5 year of experience|Degree /|Malay / English /|Problem-solving /|SQL /|Temporary|Flexible Hour|to|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday /|Sunday /|Daily Salary|RM 1,800 - RM 2,000|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTE3MA==|2026-02-18 12:21:58
SPRAY PAINTER|ASH MARINE SDN BHD|JOHOR BAHRU|Senior Executive|JOHOR BAHRU|4|"•	Promote HSE initiatives during construction phase to keep people mobilized and safety minded (e.g. weekly site walk, anomaly system, HSE challenges, etc.)
•	Monitor that the work is performed safely in compliance with our client’s HSE standards/requirements and objectives.
•	Monitor all blasting & painting activities in Yard ( or specific project).
•	Ensure that the works are carried out in full compliance with our client’s general specifications, and the project’s specific requirements.
•	Monitor all company quality inspections related to painting / coating activities
•	Plan & Monitor, Painting / Coating procedures qualification
•	Troubleshoot technical problems that may affect the construction and liaise with Project/ engineering team for the resolution
•	Identify the critical activities and bottleneck for the progress of the fabrication related to painting / coating.
•	Anticipate, propose solutions in order to improve painter’s productivity.
•	Prepare & report progress report ( weekly & monthly) Painting/Coating activities ( progress, schedule, area of concerns, etc. )
•	To track & Monitor all additional work performed on project.
•	Follow up NCR / CAR processes as required
•	To perform other activities or tasks that may be assigned from time to time by the management."|At least 3 year of experience|Malaysian Skills Certificate (SKM) / Diploma / Degree /|Malay / English /|Managing / Planning / Supervising /|Microsoft Office /|Full Time|Flexible Hour|to|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday /|Sunday /|Monthly Salary|RM 2,000 - RM 3,000|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTE5MA==|2026-02-18 12:21:58
PROJECT ENGINEER|PEMBORONG MAJU BERSATU SDN BHD|LABUAN|Engineer|LABUAN|1|"1.	Qualification 
•	Minimum Degree in Engineering discipline
•	Minimum 7 years of working experience in oil & gas industry with at least 5 years’ experience as Project Engineer for Brownfield and Greenfield project.
I.	Have experience at least involved in one (1) complete cycle of COMPANY Brownfield or Greenfield project.
II.	Experience in various aspects of offshore/onshore engineering i.e., conceptual design, Front End and detailed design, procurement processes and tendering, construction and commissioning activities 

2.	Competency/Skill
•	Knowledge of COMPANY Project Management System (PPMS) and COMPANY Approving Authorities (AA).
•	Knowledgeable in various aspects of engineering, procurement and tendering processes, construction and commissioning activities.
•	Knowledge on Front End activities, contracting and procurement strategy, planning strategy and budget strategy.
•	Good communication, reporting and interpersonal skill.
•	Have skills to analyse project problem from reports and studies e.g., feasibility studies to ensure project performance are met 

3.	Accreditation / Certification / Software to perform the function
•	Registered with CIDB.
•	BEM registered
•	PMP accreditation (added value, optional) 

4.	Job Purpose (Summarize briefly for job position) 
•	Drive and manage the project and integrate all project activities during various project phases which consists of conceptual and Front-End engineering, detail engineering, procurement, construction, commissioning and start-up & operation effectively with full compliance to project specification, COMPANY Project Management System (PPMS) and relevant statutory requirements.
•	Monitor and track project performance (HSSE, cost, schedule, and quality) i.e., OTOBOS is meet by provide report and coordinate meetings with all discipline and stakeholder."|At least 5 year of experience|Degree /|Malay / English /|Problem-solving /|Microsoft Project /|Contract|Office Hour|08:00 AM to 05:00 PM|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday /|Sunday /|Monthly Salary|RM 6,000 - RM 7,000|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTA4MA==|2026-02-18 12:21:58
ENMCS TESTING ENGINEER|SUNDUWAN ENGINEERING SERVICES SDN BHD|KOTA KINABALU|Engineer|KOTA KINABALU|1||At least 2 year of experience|Degree /|Malay / English / Chinese /|Supervising /|Penetration Testing /|Contract|Office Hour|08:00 AM to 05:30 PM|Monday / Tuesday / Wednesday / Thursday / Friday /|Saturday / Sunday /|Monthly Salary|RM 2,000 - RM 3,000|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTI4OA==|2026-02-18 12:21:58
MARINE CREW - CHIEF OFFICER SDPO - FOR RESOLUTION|BINTANG SAMUDERA SDN BHD|KOTA KINABALU|Operations|KOTA KINABALU|2|"The Chief Officer is the deputy of the Deck Department and reports to the Master to supervise the Second Officer (if carried on board) and Deck Ratings. The Chief Officer is a member of the Shipboard Management Team and assists the Master in the implementation of the IMS, and acts as the Ship Security Officer and Ship Safety Officer (as appointed by the Company).
In certain circumstances, the Chief Officer may be allocated additional responsibilities at the discretion of the Master. Where an additional Chief Officer is carried on board a vessel, the Master shall apportion their duties and responsibilities.

60 Days Contract"|At least 2 year of experience|Malaysian Skills Certificate (SKM) /|English / Malay /|Mentoring / Teaching / Documenting / Reporting / Positivity / Conflict management /|Microsoft Outlook / Microsoft Excel / Microsoft Office / Microsoft PowerPoint / Microsoft Word  /|Contract|Flexible Hour|to|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday / Sunday /|Saturday / Sunday / Monday / Tuesday / Wednesday / Thursday / Friday /|Daily Salary|RM 1,805 - RM 1,890|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTQwMQ==|2026-02-18 12:21:58
Second Cementer|OCEAN KINABALU SDN BHD|KOTA KINABALU|Entry Level|KOTA KINABALU|8|Under direct supervision of Cementing Supervisor and Lead Cementer, assists in general rig up and rig down cementing service equipment at the well site. Includes spotting of cement storage vessels and other equipment. Assists in pre-mixing of space fluids, identifying additives to be mixed on-the-fly, rigging-up appropriate data monitoring equipment. Learns to operate equipment on location. Demonstrates safety and environmentally consciousness. Learns and compiles with all applicable safety and environmental procedures and regulations. Strives to attain maximum levels of service quality.|At least 1 year of experience|Malaysian Skills Certificate (SKM) /|Malay / English /|Active listening / Problem-solving /|Layout Design /|Contract|Office Hour|08:00 AM to 05:00 PM|Monday / Tuesday / Wednesday / Thursday / Friday /|Saturday / Sunday /|Monthly Salary|RM 1,501 - RM 4,500|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTMwMw==|2026-02-18 12:21:58
Senior Technical Assistant|LEDDER ENTERPRISE SDN BHD|KOTA KINABALU|Non Executive|KOTA KINABALU|1|"1.	Assist in preparing technical report by providing data and information of network and telecommunication systems.
2.	Provide support in maintenance, installation and repair of telecommunication and network systems.
3.	Provide Onshore & Offshore assist and support whenever required
4.	Responsible for understanding and complying with all policies, procedures, and regulations within scope of job.

5.	Liaise with Project Team regarding work need to be done and make necessary arrangement for a smooth and safe work flow and according to 12 lifesaving HSSE rule."|At least 3 year of experience|Diploma /|Malay / English /|Active listening / Written communication / Reporting / Reliability /|Microsoft Office /|Contract|Office Hour|08:00 AM to 05:00 PM|Monday / Tuesday / Wednesday / Thursday / Friday /|Saturday / Sunday /|Monthly Salary|RM 4,000 - RM 4,500|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTQ1Nw==|2026-02-18 12:21:58
MARINE CREW - BOSUN CRANE OPERATOR - FOR RESOLUTION|BINTANG SAMUDERA SDN BHD|KOTA KINABALU|Non Executive|KOTA KINABALU|1|"60 Days contract.
The Bosun / Crane Operator is responsible for the supervision of deck ratings and the safe, efficient execution of deck and lifting operations under the direction of the Chief Officer. This role combines leadership, hands-on maintenance, and crane operation duties, ensuring all tasks are performed in accordance with the company’s safety and operational procedures.
Key Responsibilities
1. Deck Supervision & Maintenance
Lead and manage deck crew in carrying out the Deck Planned Maintenance Schedule (PMS) as instructed by the Chief Officer.
Ensure all work is conducted safely and efficiently, adhering to company policies and international maritime standards.
Assist in shipboard operations, mooring, anchoring, and cargo work as directed by the Chief Officer.
Monitor paint, deck stores, and equipment inventory; report shortages or requirements promptly.
Conduct daily sounding of tanks and bilges, or as otherwise instructed.
Report any damages, irregularities, or deficiencies on deck to the Chief Officer.
Participate in safety and security drills and uphold compliance with safety procedures at all times.

2. Crane Operation & Maintenance
Operate deck cranes safely during cargo, material, and passenger transfer operations under instructions from the designated Banksman (Chief Officer, Bosun, or Leaderman).
Ensure only certified, marked, and suitable lifting appliances and slings are used during lifting operations.
Conduct regular maintenance of the deck crane as per PMS, including checking lubricant and hydraulic oil levels, greasing wire ropes, and general upkeep.
Perform routine deck maintenance such as chipping and painting.
Inspect lifting gear regularly (shackles, blocks, rollers, wire slings, belt slings, and cargo nets) to ensure all are in safe operational condition.
When the vessel is idle, warm up the deck crane at least twice weekly, ensure batteries are charged, and verify crane readiness at all times.
Report any crane or lifting equipment defects immediately to the Chief Officer or Master for corrective action."|At least 1 year of experience|Malaysian Skills Certificate (SKM) /|Malay / English /|Collaboration / Reliability / Problem-solving / Conceptual thinking / Troubleshooting / Adapting /|Microsoft Excel / Microsoft Office / Microsoft Outlook / Microsoft PowerPoint / Microsoft Word  /|Contract|Flexible Hour|to|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday / Sunday /|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday / Sunday /|Daily Salary|RM 839 - RM 1,050|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTQwOQ==|2026-02-18 12:21:58
MARINE CREW - ABLE BODY SEAMAN - FOR RESOLUTION|BINTANG SAMUDERA SDN BHD|KOTA KINABALU|Non Executive|KOTA KINABALU|3|"60 Days contract.
Able Body Seaman or Ordinary Seaman are classified as Deck Ratings. They are responsible for the execution of deck maintenance-related activities. They report to Bosun.
RESPONSIBILITIES
(a) Carry out Deck PMS Schedule as instructed by the Bosun, ensuring such tasks are always carried out in observance of safe working practices.
(b) Keep sea watches to act as lookout or helmsman as required by the Officer of the watch.
(c) Keep port watches, assist in cargo operations, and perform shipboard operations when required."|At least 1 year of experience|Malaysian Skills Certificate (SKM) /|Malay / English /|Active listening / Written communication / Documenting / Positivity / Flexibility / Collaboration / Reliability / Adapting /|Microsoft Excel / Microsoft Office / Microsoft Outlook / Microsoft PowerPoint / Microsoft Word  /|Contract|Flexible Hour|to|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday /|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday /|Daily Salary|RM 209 - RM 251|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTQwNg==|2026-02-18 12:21:58
Junior Field Operator|DIMENSION BID M SDN BHD|KOTA KINABALU|Engineer|KOTA KINABALU|1|"Responsibilities:
To assist the operation department in all aspect of the required for operations.

Qualifications & Certifications:
•	Diploma in Engineering or any equivalent field of studies
•	Experience in oil & gas is an advantage
•	Fluent in English (writing and communication)
•	Medical health is good as required to go offshore 
•	Computer skills, familiar with Microsoft Office, Logging Software and Engineering Software"|At least 1 year of experience|Diploma /|Malay / English /|Presenting / Documenting / Reporting / Reliability / Problem-solving /|Microsoft Office /|Full Time|Flexible Hour|to|Monday / Tuesday / Wednesday / Thursday / Friday /|Saturday / Sunday /|Monthly Salary|RM 1,800 - RM 2,000|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTI1NA==|2026-02-18 12:21:58
DATA ENGINEER|SURFACE LOGGING GEOLOG SDN BHD|KOTA KINABALU|Engineer|KOTA KINABALU|2|" Real-Time monitoring of drilling activity supporting data analysis and interpretation;

 Data gathering and real-time data transmission;

 Formation sample collection and description for chemical and geomechanical analysis;

 Report feedback on drilling activity to all necessary channels onsite;

 Responsible for High resolution Mud Flow out - Coriolis Type;

 Installation and maintenance of software and hardware to acquire data and measure drilling parameters;

 Maintenance and on-site technical support. Ensure maintenance and calibrations are performed in accordance with procedures and the “SQC-Service quality Control Form”;

 Maintain productivity standards for all rig functions;

 Generate technical reports and logs;

 Create, interpret and submit of all reports and logs;

 Record and store all data according to the client format and instructions. Provide a flawless Final Well Report and make a back-up of ALL the data files (including the Raw Data files);

 Ensure that any drilling anomaly detected is immediately reported to the Oil Company Representative;

 First point of contact for the client representative and Well Site Geologist for all questions and resolve concerns or complaints;

 Attend daily meetings and providing the client representative with daily logs on drilling operations;

 Incorporate operational requests from the Client;

 Responsible for all unit related matters and crew members;

 Overseeing all rig operations and work activities from the unit"|At least 5 year of experience|Degree /|English /|Reporting / Supervising /|Microsoft Excel / Microsoft Office /|Full Time|Flexible Hour|to|Monday / Tuesday / Wednesday / Thursday / Friday /|Sunday /|Monthly Salary|RM 4,000 - RM 5,000|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTE1MA==|2026-02-18 12:21:58
MARINE CREW - FITTER-WELDER - FOR RESOLUTION|BINTANG SAMUDERA SDN BHD|KOTA KINABALU|Non Executive|KOTA KINABALU|1|"60 days contract.
The Fitter/Welder reports to the Second Engineer and is responsible for performing welding and fabrication work.
Responsibilities
(a) Perform welding activities and piping for repair of parts of the vessel’s machines and equipment, using an electric welder, oxyacetylene equipment, and portable electric grinder.
(b) Maintain the equipment and machinery assigned to them.
(c) Report any irregularities they notice while carrying out their duties to their superiors.
(d) Carry out their work in a manner consistent with the Company’s and industry safety directives.
(e) Perform welding and cutting operations on deck as and when required."|At least 1 year of experience|Malaysian Skills Certificate (SKM) /|Malay / English /|Flexibility / Collaboration / Problem-solving / Adapting /|Microsoft Excel / Microsoft Office / Microsoft Outlook / Microsoft PowerPoint / Microsoft Word  /|Contract|Flexible Hour|to|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday / Sunday /|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday / Sunday /|Daily Salary|RM 335 - RM 377|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTQwMA==|2026-02-18 12:21:58
MARINE CREW - CHIEF ENGINEER - FOR RESOLUTION|BINTANG SAMUDERA SDN BHD|KOTA KINABALU|Engineer|KOTA KINABALU|1|"The Chief Engineer is the head of the Engine Room department, responsible to the Master for the discipline of his staff and all those delegated to carry out duties in areas under his responsibility. They should investigate any complaint or breach of discipline whether resulting from personal misconduct, technical negligence, or breach of professional standards, report to the Master, and submit Crew Appraisals to the Company for his staff.
The Chief Engineer is a member of the Shipboard Management Team, assisting the Master in the implementation of the IMS and responsible for the safe and efficient operation, maintenance, and repair of all machinery, electrical equipment and the propulsion system on board.

60 Days contract"|At least 2 year of experience|Malaysian Skills Certificate (SKM) /|Malay / English /|Problem-solving / Troubleshooting / Mentoring / Supervising / Code-switching /|Microsoft Excel / Microsoft Office / Microsoft Outlook / Microsoft PowerPoint / Microsoft Word  /|Contract|Flexible Hour|to|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday / Sunday /|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday / Sunday /|Daily Salary|RM 1,890 - RM 2,310|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTQwNA==|2026-02-18 12:21:58
Senior Production Technologist|HIBISCUS OIL AND GAS MALAYSIA LIMITED|KOTA KINABALU|Senior Executive|KOTA KINABALU|1|"DUTIES AND RESPONSIBILITIES

- The Senior Production Technologist reports directly to the Sr Manager, Reservoir Surveillance and Optimization and responsible for overall production technology from reservoir to well level. 
- The purpose of this job is to optimize production of oil and gas at an optimum level, increasing the value of the asset on a daily basis.
- This position also acts as the main technical support for petroleum engineering, well technology and special studies.
- Mainly accountable for well diagnostic and troubleshooting, focal point for well intervention activities, well surveys and diagnostics.
 

KEY ACCOUNTABILITIES

- Production Monitoring and Optimization – to closely monitor and optimize production processes to ensure wells and fields perform at their expected levels, minimizing disruptions and maximizing potential. It involves utilizing surveillance tools, analyzing data trends, verifying and validating production data, identifying and addressing production constraints, and ensuring compliance with testing and reporting standards.
- Data Analysis and Validation – to analyze field data, well tests, and production parameters to ensure optimal production levels are maintained. It includes verifying and validating production data, well testing, and deferment records on a regular basis to reflect accurate capacity and potential.
- Issue Identification and Resolution- identify issues causing lower production, develop action plans to address constraints and bottlenecks, and optimize wireline activities for production restoration. It involves closely monitoring production processes, analyzing data for discrepancies, and implementing solutions to maximize production potential.
- Compliance Management – monitor and ensure compliance with well testing, well integrity frameworks, and production reporting standards. It involves maintaining regulatory and operational compliance to ensure efficient and reliable production operations.
- Cross-functional Collaboration and Communication – working closely with cross-functional teams, issuing programs for data gathering and troubleshooting, and participating in relevant meetings to address production-related matters effectively. It emphasizes collaboration, communication, and coordination across different functional areas to achieve production goals and targets.
- Risk Management and Mitigation – addressing H2S issues, monitoring high H2S wells, ensuring minimal risks for further souring, and implementing mitigations. It also includes daily monitoring of H2S levels and injection activities to manage potential risks effectively.
- Equipment Maintenance and Management – encompasses routine wireline optimization activities such as waxcut, ZOC, GLVC, sand bail, etc. It involves ensuring equipment functionality, monitoring wells’ performance for optimization opportunities, and recording gains from maintenance activities.
 

REQUIREMENTS AND QUALIFICATIONS

- Possess a bachelor’s degree of any relevant disciplines from recognized universities with not less than 7 years’ as Production Technologist in the oil and gas industry, preferably in a PSC environment.
- Advanced user in Petroleum Experts IPM suite of modeling tools (i.e. GAP, PROSPER, MBAL) , WinGLUE, and OFM.
- Experience in gas lift optimization, gas lift design, ESP completions monitoring and troubleshooting
Experience in production enhancement and remedial work such as water shut off, gas shut off, well stimulation.
- Experience in well work activities including slickline, Eline and coil tubing unit operations
Experience in brownfields FDP/FFR, production chemistry, sand control/management design, conceptual completion design, tubing stress analysis
- Excellent understanding of flow dynamics, near wellbore damage behaviors and flow assurance in relations to any FDP/FFR development project
- Experience in conducting technology screening and ability to challenge existing design and well operational processes in order to apply best technologies and practices / minimize operating costs
- Experience supervising offshore activities related to Well Engineering
- A strong work ethic with the ability to deliver in a timely fashion all required work scope
- Ability to work and communicate with different departments (studies, offshore, operations, MPM and PCSB)"|10 year of experience|Degree /|Malay / English /|Reporting / Collaboration / Conceptual thinking / Assessing /|Risk Management /|Full Time|Office Hour|07:00 AM to 04:00 PM|Monday / Tuesday / Wednesday / Thursday / Friday /|Saturday / Sunday /|Monthly Salary|RM 15,000 - RM 25,000|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTE0OA==|2026-02-18 12:21:58
ProMax Processor|HURRICANE GEO INSPECTION SURVEY SDN. BHD.|KOTA KINABALU|Senior Executive|KOTA KINABALU|2|"• Lead and execute inshore, nearshore, and offshore survey operations, ensuring adherence to 
project requirements and industry standards. 
• Conduct Multi-Beam Echo Sounder (MBES) data acquisition, processing, and quality 
assurance, providing high-resolution bathymetric data.
• Plan, coordinate, and oversee DGPS and gyro calibrations to ensure accurate positioning and 
heading data. 
• Collaborate with dimensional survey teams, survey engineers, and other personnel during 
mobilization and demobilization activities. 
• Manage and troubleshoot survey equipment, including MBES, USBL systems, sound velocity 
profilers, tide gauges, and additional survey instrumentation. 
• Generate and review survey reports, data summaries for clients. 
• Support dredging projects by performing post-dredging surveys, data analysis, and volume 
calculations.
• Maintain records of calibration, system checks, and field notes in compliance with QA/QC 
standards.
• Provide technical guidance to junior surveyors, data processors, and field crew.
• Stay updated with the latest MBES processing techniques and software and implement 
improvements to enhance data quality. 
• Assist in vessel mobilization and demobilization tasks, ensuring proper installation and 
alignment of survey equipment. 
• Conduct in-depth analysis of bathymetric, topographic, and environmental data for accurate 
geospatial representations."|At least 4 year of experience|Diploma / Degree /|Malay / English /|Problem-solving / Conceptual thinking / Managing /|Microsoft Office / Microsoft Outlook /|Temporary|Flexible Hour|to|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday /|Sunday /|Project Based|RM 1,600 - RM 1,700|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTI4Mg==|2026-02-18 12:21:58
Cargo Document Coordinator|SATUMARIN SDN BHD|KOTA KINABALU|Operations|KOTA KINABALU|1|"1. Documentation and Logistics Coordinator/Forwarder which forms part of the cargo lifting/offtake team
supplied by CONTRACTOR will be stationed on board COMPANY's operating terminal during every offtake.
He/ She will work closely with Pilot/Offloading Master, Terminal Operator Representative, the appointed
3rd Party Independent Surveyors and Petronas Carigali Representative in overseeing the cargo discharge
operation. He/ She will prepare the final lifting documents on COMPANY's behalf follows;
a. Bill of Lading (Original, Duplicate, Triplicate, Non-Negotiable)
b. Certificate of Origin
c. Certificate of Quantity
d. Certificate of Quality
e. Cargo Manifest
f. Tanker Time Sheet and Loading report
g. Master's Receipt of Documents and Samples
h. Samples Report
i. Tanker Sailing Advise
2. Handling of final cargo offtake/lifting documentation to cargo offtake tanker SHIP Master for signature.
3. Cargo Export Duties/Tax Calculation.
4. Cargo offloading/lifting Reports and logging.
5. Records of Final Lifting Documentation and Reports.
6. Submission Tanker Sailing Advice.

Soonest after tanker has departed the field, the Documentation and Logistics Coordinator/Forwarder will
send via e-mail copies of all signed documents mentioned in section 1.12 a-i above to the Buyer (as stated
in the contract sales agreement), and email copies as well to COMPANY's Production Coordinator who is
based in KL Office.
7. Handling and Dispatching of ALL ORIGINAL final Lifting Documents to COMPANY upon loading completion.
8. Liaising and Pre-Registering with local Customs (Kastam Di Raja Malaysia).
9. Submission of Customs Documentation and Payment of Export Duties.
10. Reviewing of Demurrage claim, Dead Freight claim, Oil Loss Claim, Cargo Disputed Claim, Understated
BS&W Claim issued by Buyer."|At least 3 year of experience|Diploma /|English /|Documenting / Reporting / Problem-solving /|Microsoft Excel / Project Documentation /|Contract|Flexible Hour|to|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday /|Sunday /|Monthly Salary|RM 3,000 - RM 5,000|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTIzMA==|2026-02-18 12:21:58
Senior Technical Sales Executive|SAFEMED SDN BHD|KOTA KINABALU|Senior Executive|KOTA KINABALU|1|Able to approach clients and brief them on our current product lineup.|At least 3 year of experience|Degree /|Malay / English /|Negotiating / Customer service / Presenting /|Microsoft Excel / Microsoft Office / Microsoft Outlook / Microsoft PowerPoint /|Full Time|Office Hour|08:00 AM to 05:00 PM|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday /|Saturday / Sunday /|Monthly Salary|RM 2,000 - RM 2,500|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTM3MA==|2026-02-18 12:21:58
